case_id,prefix,k,next_act
Case 2848,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 2849,assign-seriousness,0,resolve-ticket
Case 2849,assign-seriousness resolve-ticket,1,resolve-ticket
Case 2849,assign-seriousness resolve-ticket resolve-ticket,2,closed
Case 2850,assign-seriousness,0,take-in-charge-ticket
Case 2850,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2850,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2851,assign-seriousness,0,take-in-charge-ticket
Case 2851,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2851,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2852,assign-seriousness,0,resolve-ticket
Case 2852,assign-seriousness resolve-ticket,1,closed
Case 2853,assign-seriousness,0,assign-seriousness
Case 2853,assign-seriousness assign-seriousness,1,assign-seriousness
Case 2853,assign-seriousness assign-seriousness assign-seriousness,2,take-in-charge-ticket
Case 2853,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket,3,wait
Case 2853,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket wait,4,resolve-ticket
Case 2853,assign-seriousness assign-seriousness assign-seriousness take-in-charge-ticket wait resolve-ticket,5,closed
Case 2854,assign-seriousness,0,take-in-charge-ticket
Case 2854,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2854,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2855,assign-seriousness,0,take-in-charge-ticket
Case 2855,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2855,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2856,assign-seriousness,0,take-in-charge-ticket
Case 2856,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2856,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2857,assign-seriousness,0,take-in-charge-ticket
Case 2857,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2857,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2858,assign-seriousness,0,take-in-charge-ticket
Case 2858,assign-seriousness take-in-charge-ticket,1,wait
Case 2858,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 2858,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 2858,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 2859,assign-seriousness,0,take-in-charge-ticket
Case 2859,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2859,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2860,assign-seriousness,0,take-in-charge-ticket
Case 2860,assign-seriousness take-in-charge-ticket,1,wait
Case 2860,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 2860,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 2861,assign-seriousness,0,take-in-charge-ticket
Case 2861,assign-seriousness take-in-charge-ticket,1,wait
Case 2861,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 2861,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 2861,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 2862,assign-seriousness,0,take-in-charge-ticket
Case 2862,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2862,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2863,assign-seriousness,0,assign-seriousness
Case 2863,assign-seriousness assign-seriousness,1,assign-seriousness
Case 2863,assign-seriousness assign-seriousness assign-seriousness,2,wait
Case 2863,assign-seriousness assign-seriousness assign-seriousness wait,3,take-in-charge-ticket
Case 2863,assign-seriousness assign-seriousness assign-seriousness wait take-in-charge-ticket,4,resolve-ticket
Case 2863,assign-seriousness assign-seriousness assign-seriousness wait take-in-charge-ticket resolve-ticket,5,closed
Case 2864,assign-seriousness,0,take-in-charge-ticket
Case 2864,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2864,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2865,assign-seriousness,0,take-in-charge-ticket
Case 2865,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2865,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2866,assign-seriousness,0,take-in-charge-ticket
Case 2866,assign-seriousness take-in-charge-ticket,1,wait
Case 2866,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 2866,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 2867,assign-seriousness,0,take-in-charge-ticket
Case 2867,assign-seriousness take-in-charge-ticket,1,wait
Case 2867,assign-seriousness take-in-charge-ticket wait,2,wait
Case 2867,assign-seriousness take-in-charge-ticket wait wait,3,take-in-charge-ticket
Case 2867,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket,4,resolve-ticket
Case 2867,assign-seriousness take-in-charge-ticket wait wait take-in-charge-ticket resolve-ticket,5,closed
Case 2868,assign-seriousness,0,resolve-ticket
Case 2868,assign-seriousness resolve-ticket,1,closed
Case 2869,assign-seriousness,0,take-in-charge-ticket
Case 2869,assign-seriousness take-in-charge-ticket,1,wait
Case 2869,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 2869,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 2869,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 2870,assign-seriousness,0,take-in-charge-ticket
Case 2870,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2870,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2871,assign-seriousness,0,take-in-charge-ticket
Case 2871,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2871,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2872,assign-seriousness,0,take-in-charge-ticket
Case 2872,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2872,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2873,assign-seriousness,0,take-in-charge-ticket
Case 2873,assign-seriousness take-in-charge-ticket,1,wait
Case 2873,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 2873,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 2874,assign-seriousness,0,take-in-charge-ticket
Case 2874,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2874,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2875,assign-seriousness,0,take-in-charge-ticket
Case 2875,assign-seriousness take-in-charge-ticket,1,wait
Case 2875,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 2875,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 2876,assign-seriousness,0,take-in-charge-ticket
Case 2876,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2876,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2877,assign-seriousness,0,take-in-charge-ticket
Case 2877,assign-seriousness take-in-charge-ticket,1,wait
Case 2877,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 2877,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 2877,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 2878,assign-seriousness,0,take-in-charge-ticket
Case 2878,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2878,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2879,assign-seriousness,0,take-in-charge-ticket
Case 2879,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2879,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2880,assign-seriousness,0,take-in-charge-ticket
Case 2880,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2880,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2881,assign-seriousness,0,require-upgrade
Case 2881,assign-seriousness require-upgrade,1,require-upgrade
Case 2881,assign-seriousness require-upgrade require-upgrade,2,resolve-ticket
Case 2881,assign-seriousness require-upgrade require-upgrade resolve-ticket,3,closed
Case 2882,assign-seriousness,0,take-in-charge-ticket
Case 2882,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2882,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2883,assign-seriousness,0,take-in-charge-ticket
Case 2883,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2883,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2884,assign-seriousness,0,take-in-charge-ticket
Case 2884,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2884,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2885,assign-seriousness,0,take-in-charge-ticket
Case 2885,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2885,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2886,assign-seriousness,0,take-in-charge-ticket
Case 2886,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2886,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2887,assign-seriousness,0,take-in-charge-ticket
Case 2887,assign-seriousness take-in-charge-ticket,1,wait
Case 2887,assign-seriousness take-in-charge-ticket wait,2,wait
Case 2887,assign-seriousness take-in-charge-ticket wait wait,3,resolve-ticket
Case 2887,assign-seriousness take-in-charge-ticket wait wait resolve-ticket,4,closed
Case 2888,assign-seriousness,0,take-in-charge-ticket
Case 2888,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2888,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2889,assign-seriousness,0,take-in-charge-ticket
Case 2889,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2889,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2890,assign-seriousness,0,take-in-charge-ticket
Case 2890,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2890,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2891,assign-seriousness,0,take-in-charge-ticket
Case 2891,assign-seriousness take-in-charge-ticket,1,wait
Case 2891,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 2891,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 2892,assign-seriousness,0,take-in-charge-ticket
Case 2892,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2892,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2893,assign-seriousness,0,take-in-charge-ticket
Case 2893,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2893,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2894,assign-seriousness,0,take-in-charge-ticket
Case 2894,assign-seriousness take-in-charge-ticket,1,wait
Case 2894,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 2894,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 2894,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 2895,assign-seriousness,0,take-in-charge-ticket
Case 2895,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2895,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2896,assign-seriousness,0,take-in-charge-ticket
Case 2896,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2896,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2897,assign-seriousness,0,take-in-charge-ticket
Case 2897,assign-seriousness take-in-charge-ticket,1,require-upgrade
Case 2897,assign-seriousness take-in-charge-ticket require-upgrade,2,take-in-charge-ticket
Case 2897,assign-seriousness take-in-charge-ticket require-upgrade take-in-charge-ticket,3,resolve-ticket
Case 2897,assign-seriousness take-in-charge-ticket require-upgrade take-in-charge-ticket resolve-ticket,4,closed
Case 2898,assign-seriousness,0,take-in-charge-ticket
Case 2898,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2898,assign-seriousness take-in-charge-ticket resolve-ticket,2,take-in-charge-ticket
Case 2898,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,resolve-ticket
Case 2898,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,4,closed
Case 2899,assign-seriousness,0,take-in-charge-ticket
Case 2899,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2899,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2900,assign-seriousness,0,take-in-charge-ticket
Case 2900,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2900,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2901,assign-seriousness,0,take-in-charge-ticket
Case 2901,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2901,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2902,assign-seriousness,0,take-in-charge-ticket
Case 2902,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2902,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2903,assign-seriousness,0,take-in-charge-ticket
Case 2903,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2903,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2904,assign-seriousness,0,take-in-charge-ticket
Case 2904,assign-seriousness take-in-charge-ticket,1,wait
Case 2904,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 2904,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,resolve-ticket
Case 2904,assign-seriousness take-in-charge-ticket wait resolve-ticket resolve-ticket,4,closed
Case 2905,assign-seriousness,0,take-in-charge-ticket
Case 2905,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2905,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2906,assign-seriousness,0,take-in-charge-ticket
Case 2906,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2906,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2907,assign-seriousness,0,take-in-charge-ticket
Case 2907,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2907,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2908,assign-seriousness,0,take-in-charge-ticket
Case 2908,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2908,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2909,insert-ticket,0,assign-seriousness
Case 2909,insert-ticket assign-seriousness,1,assign-seriousness
Case 2909,insert-ticket assign-seriousness assign-seriousness,2,wait
Case 2909,insert-ticket assign-seriousness assign-seriousness wait,3,take-in-charge-ticket
Case 2909,insert-ticket assign-seriousness assign-seriousness wait take-in-charge-ticket,4,resolve-ticket
Case 2909,insert-ticket assign-seriousness assign-seriousness wait take-in-charge-ticket resolve-ticket,5,take-in-charge-ticket
Case 2909,insert-ticket assign-seriousness assign-seriousness wait take-in-charge-ticket resolve-ticket take-in-charge-ticket,6,resolve-ticket
Case 2909,insert-ticket assign-seriousness assign-seriousness wait take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,7,closed
Case 2910,assign-seriousness,0,take-in-charge-ticket
Case 2910,assign-seriousness take-in-charge-ticket,1,wait
Case 2910,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 2910,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 2911,assign-seriousness,0,take-in-charge-ticket
Case 2911,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2911,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2912,assign-seriousness,0,resolve-ticket
Case 2912,assign-seriousness resolve-ticket,1,closed
Case 2913,assign-seriousness,0,take-in-charge-ticket
Case 2913,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2913,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2914,assign-seriousness,0,resolve-ticket
Case 2914,assign-seriousness resolve-ticket,1,closed
Case 2915,assign-seriousness,0,assign-seriousness
Case 2915,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 2915,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 2915,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 2916,assign-seriousness,0,take-in-charge-ticket
Case 2916,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2916,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2917,assign-seriousness,0,take-in-charge-ticket
Case 2917,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2917,assign-seriousness take-in-charge-ticket resolve-ticket,2,resolve-ticket
Case 2917,assign-seriousness take-in-charge-ticket resolve-ticket resolve-ticket,3,closed
Case 2918,assign-seriousness,0,take-in-charge-ticket
Case 2918,assign-seriousness take-in-charge-ticket,1,require-upgrade
Case 2918,assign-seriousness take-in-charge-ticket require-upgrade,2,take-in-charge-ticket
Case 2918,assign-seriousness take-in-charge-ticket require-upgrade take-in-charge-ticket,3,resolve-ticket
Case 2918,assign-seriousness take-in-charge-ticket require-upgrade take-in-charge-ticket resolve-ticket,4,closed
Case 2919,assign-seriousness,0,resolve-ticket
Case 2919,assign-seriousness resolve-ticket,1,closed
Case 2920,assign-seriousness,0,take-in-charge-ticket
Case 2920,assign-seriousness take-in-charge-ticket,1,take-in-charge-ticket
Case 2920,assign-seriousness take-in-charge-ticket take-in-charge-ticket,2,create-sw-anomaly
Case 2920,assign-seriousness take-in-charge-ticket take-in-charge-ticket create-sw-anomaly,3,resolve-ticket
Case 2920,assign-seriousness take-in-charge-ticket take-in-charge-ticket create-sw-anomaly resolve-ticket,4,closed
Case 2921,assign-seriousness,0,take-in-charge-ticket
Case 2921,assign-seriousness take-in-charge-ticket,1,wait
Case 2921,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 2921,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 2921,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,resolve-ticket
Case 2921,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket resolve-ticket,5,closed
Case 2922,assign-seriousness,0,take-in-charge-ticket
Case 2922,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2922,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2923,assign-seriousness,0,take-in-charge-ticket
Case 2923,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2923,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2924,assign-seriousness,0,assign-seriousness
Case 2924,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 2924,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 2924,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 2925,assign-seriousness,0,assign-seriousness
Case 2925,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 2925,assign-seriousness assign-seriousness take-in-charge-ticket,2,wait
Case 2925,assign-seriousness assign-seriousness take-in-charge-ticket wait,3,take-in-charge-ticket
Case 2925,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,4,resolve-ticket
Case 2925,assign-seriousness assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,5,closed
Case 2926,assign-seriousness,0,take-in-charge-ticket
Case 2926,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2926,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2927,assign-seriousness,0,take-in-charge-ticket
Case 2927,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2927,assign-seriousness take-in-charge-ticket resolve-ticket,2,take-in-charge-ticket
Case 2927,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket,3,wait
Case 2927,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket wait,4,take-in-charge-ticket
Case 2927,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket,5,resolve-ticket
Case 2927,assign-seriousness take-in-charge-ticket resolve-ticket take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,6,closed
Case 2928,insert-ticket,0,assign-seriousness
Case 2928,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 2928,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 2928,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 2929,assign-seriousness,0,take-in-charge-ticket
Case 2929,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2929,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2930,assign-seriousness,0,take-in-charge-ticket
Case 2930,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2930,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2931,assign-seriousness,0,take-in-charge-ticket
Case 2931,assign-seriousness take-in-charge-ticket,1,wait
Case 2931,assign-seriousness take-in-charge-ticket wait,2,require-upgrade
Case 2931,assign-seriousness take-in-charge-ticket wait require-upgrade,3,resolve-ticket
Case 2931,assign-seriousness take-in-charge-ticket wait require-upgrade resolve-ticket,4,resolve-ticket
Case 2931,assign-seriousness take-in-charge-ticket wait require-upgrade resolve-ticket resolve-ticket,5,closed
Case 2932,assign-seriousness,0,take-in-charge-ticket
Case 2932,assign-seriousness take-in-charge-ticket,1,wait
Case 2932,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 2932,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 2933,assign-seriousness,0,take-in-charge-ticket
Case 2933,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2933,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2934,assign-seriousness,0,take-in-charge-ticket
Case 2934,assign-seriousness take-in-charge-ticket,1,wait
Case 2934,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 2934,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 2935,assign-seriousness,0,take-in-charge-ticket
Case 2935,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2935,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2936,assign-seriousness,0,take-in-charge-ticket
Case 2936,assign-seriousness take-in-charge-ticket,1,wait
Case 2936,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,take-in-charge-ticket
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket,5,resolve-ticket
Case 2936,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket take-in-charge-ticket resolve-ticket,6,closed
Case 2937,assign-seriousness,0,take-in-charge-ticket
Case 2937,assign-seriousness take-in-charge-ticket,1,create-sw-anomaly
Case 2937,assign-seriousness take-in-charge-ticket create-sw-anomaly,2,create-sw-anomaly
Case 2937,assign-seriousness take-in-charge-ticket create-sw-anomaly create-sw-anomaly,3,resolve-ticket
Case 2937,assign-seriousness take-in-charge-ticket create-sw-anomaly create-sw-anomaly resolve-ticket,4,closed
Case 2938,assign-seriousness,0,take-in-charge-ticket
Case 2938,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2938,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2939,assign-seriousness,0,take-in-charge-ticket
Case 2939,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2939,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2940,assign-seriousness,0,take-in-charge-ticket
Case 2940,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2940,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2941,assign-seriousness,0,take-in-charge-ticket
Case 2941,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2941,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2942,assign-seriousness,0,take-in-charge-ticket
Case 2942,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2942,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2943,assign-seriousness,0,assign-seriousness
Case 2943,assign-seriousness assign-seriousness,1,take-in-charge-ticket
Case 2943,assign-seriousness assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 2943,assign-seriousness assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 2944,assign-seriousness,0,take-in-charge-ticket
Case 2944,assign-seriousness take-in-charge-ticket,1,wait
Case 2944,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 2944,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 2944,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 2945,assign-seriousness,0,wait
Case 2945,assign-seriousness wait,1,resolve-ticket
Case 2945,assign-seriousness wait resolve-ticket,2,closed
Case 2946,assign-seriousness,0,take-in-charge-ticket
Case 2946,assign-seriousness take-in-charge-ticket,1,wait
Case 2946,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 2946,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 2947,assign-seriousness,0,resolve-ticket
Case 2947,assign-seriousness resolve-ticket,1,resolve-ticket
Case 2947,assign-seriousness resolve-ticket resolve-ticket,2,closed
Case 2948,assign-seriousness,0,take-in-charge-ticket
Case 2948,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2948,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2949,assign-seriousness,0,take-in-charge-ticket
Case 2949,assign-seriousness take-in-charge-ticket,1,wait
Case 2949,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 2949,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 2950,assign-seriousness,0,take-in-charge-ticket
Case 2950,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2950,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2951,assign-seriousness,0,take-in-charge-ticket
Case 2951,assign-seriousness take-in-charge-ticket,1,wait
Case 2951,assign-seriousness take-in-charge-ticket wait,2,take-in-charge-ticket
Case 2951,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket,3,resolve-ticket
Case 2951,assign-seriousness take-in-charge-ticket wait take-in-charge-ticket resolve-ticket,4,closed
Case 2952,assign-seriousness,0,take-in-charge-ticket
Case 2952,assign-seriousness take-in-charge-ticket,1,wait
Case 2952,assign-seriousness take-in-charge-ticket wait,2,resolve-ticket
Case 2952,assign-seriousness take-in-charge-ticket wait resolve-ticket,3,closed
Case 2953,assign-seriousness,0,take-in-charge-ticket
Case 2953,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2953,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2954,assign-seriousness,0,take-in-charge-ticket
Case 2954,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2954,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2955,insert-ticket,0,assign-seriousness
Case 2955,insert-ticket assign-seriousness,1,take-in-charge-ticket
Case 2955,insert-ticket assign-seriousness take-in-charge-ticket,2,resolve-ticket
Case 2955,insert-ticket assign-seriousness take-in-charge-ticket resolve-ticket,3,closed
Case 2956,assign-seriousness,0,wait
Case 2956,assign-seriousness wait,1,resolve-ticket
Case 2956,assign-seriousness wait resolve-ticket,2,closed
Case 2957,assign-seriousness,0,take-in-charge-ticket
Case 2957,assign-seriousness take-in-charge-ticket,1,resolve-ticket
Case 2957,assign-seriousness take-in-charge-ticket resolve-ticket,2,closed
Case 2958,assign-seriousness,0,take-in-charge-ticket
Case 2958,assign-seriousness take-in-charge-ticket,1,resolve-ticket
